Designator,Mid X,Mid Y,Rotation,Layer
MX47,27.1085,-90.932,0.0,bottom
MX48,58.06475,-90.932,0.0,bottom
MX49,84.2585,-90.932,0.0,bottom
MX5,131.8835,-29.0195,0.0,bottom
MX50,103.3085,-90.932,0.0,bottom
MX51,122.3585,-90.932,0.0,bottom
MX52,141.4085,-90.932,0.0,bottom
MX53,160.4585,-90.932,0.0,bottom
MX54,179.5085,-90.932,0.0,bottom
MX55,198.5585,-90.932,0.0,bottom
MX56,217.6085,-90.932,0.0,bottom
MX57,236.6585,-90.932,0.0,bottom
MX58,255.7085,-90.932,0.0,bottom
MX59,274.7585,-90.932,0.0,bottom
MX6,155.696,-29.0195,0.0,bottom
MX60,305.71475,-90.932,0.0,bottom
MX61,341.4335,-90.932,0.0,bottom
MX62,27.1085,-109.982,0.0,bottom
MX63,62.82725,-109.982,0.0,bottom
MX64,93.7835,-109.982,0.0,bottom
MX65,112.8335,-109.982,0.0,bottom
MX66,131.8835,-109.982,0.0,bottom
MX67,150.9335,-109.982,0.0,bottom
MX68,169.9835,-109.982,0.0,bottom
MX69,189.0335,-109.982,0.0,bottom
MX7,174.746,-29.0195,0.0,bottom
MX70,208.0835,-109.982,0.0,bottom
MX71,227.1335,-109.982,0.0,bottom
MX72,246.1835,-109.982,0.0,bottom
MX73,265.2335,-109.982,0.0,bottom
MX74,291.42725,-109.982,0.0,bottom
MX75,322.3835,-114.7445,0.0,bottom
MX76,27.1085,-129.032,0.0,bottom
MX77,53.30225,-129.032,0.0,bottom
MX78,77.11475,-129.032,0.0,bottom
MX79,100.92725,-129.032,0.0,bottom
MX8,193.796,-29.0195,0.0,bottom
MX80,172.36475,-129.032,0.0,bottom
MX81,241.421,-129.032,0.0,bottom
MX82,260.471,-129.032,0.0,bottom
MX83,279.521,-129.032,0.0,bottom
MX84,303.3335,-133.7945,0.0,bottom
MX85,322.3835,-133.7945,0.0,bottom
MX86,341.4335,-133.7945,0.0,bottom
MX9,212.846,-29.0195,0.0,bottom
R1,33.525,-28.576,0.0,bottom
R2,38.351001,-28.576,180.0,bottom
R3,159.137001,-98.812,0.0,bottom
R4,133.096,-132.589999,270.0,bottom
R5,159.137001,-100.012,180.0,bottom
R6,159.137001,-101.212,0.0,bottom
R7,143.51,-111.888999,270.0,bottom
R8,144.526001,-111.888999,270.0,bottom
R9,147.815233,-130.583985,135.0,bottom
RST1,128.041001,-130.18,0.0,bottom
S1,308.88975,-53.52645,0.0,top
S2,306.19075,-84.41395,0.0,top
S3,62.82725,-110.67645,0.0,top
S4,172.367,-128.400049,180.0,top
U1,131.699,-98.679,180.0,bottom
U2,36.1885,-32.319999,180.0,bottom
U3,146.647,-120.612,90.0,bottom
U4,160.274,-114.935,270.0,bottom
Y1,149.714858,-132.322361,135.0,bottom
